movie_title,Production Budget,Worldwide Gross,genre,duration,num_critic_for_reviews,actor_1_facebook_likes,imdb_score,weekendTotal,midweekTotal,quarter
Avatar,425000000,2783918982,Action,178.0,723.0,1000.0,7.9,490756864.0,189227960.0,4
Pirates of the Caribbean: At World's End,300000000,963420425,Adventure,169.0,302.0,40000.0,7.1,204657625.0,59811583.0,2
Spectre,300000000,879620923,Action,148.0,602.0,11000.0,6.8,146030980.0,42339809.0,4
The Dark Knight Rises,275000000,1084439099,Action,164.0,813.0,27000.0,8.5,311959647.0,96564204.0,3
The Lone Ranger,275000000,260002115,Western,150.0,450.0,40000.0,6.5,47442058.0,34307473.0,3
John Carter,275000000,282778100,Adventure,132.0,462.0,640.0,6.6,51683620.0,12342165.0,1
Tangled,260000000,586581936,Adventure,100.0,324.0,799.0,7.8,127080952.0,54110199.0,4
Spider-Man 3,258000000,894860230,Adventure,156.0,392.0,24000.0,6.2,267028426.0,43119938.0,2
Avengers: Age of Ultron,250000000,1408218722,Action,141.0,635.0,26000.0,7.5,357332065.0,67031339.0,2
Captain America: Civil War,250000000,1153304495,Action,147.0,516.0,21000.0,8.2,318109513.0,62108468.0,2
Batman v Superman: Dawn of Justice,250000000,868160194,Action,183.0,673.0,15000.0,6.9,261985334.0,46954896.0,1
Harry Potter and the Half-Blood Prince,250000000,935083686,Adventure,153.0,375.0,25000.0,7.5,150037945.0,131847167.0,3
The Hobbit: The Desolation of Smaug,250000000,960366855,Adventure,186.0,509.0,5000.0,7.9,148647016.0,66911369.0,4
The Hobbit: The Battle of the Five Armies,250000000,955119788,Adventure,164.0,422.0,5000.0,7.5,137834822.0,96554246.0,4
Pirates of the Caribbean: On Stranger Tides,250000000,1045663875,Adventure,136.0,448.0,40000.0,6.7,174194830.0,39945741.0,2
Superman Returns,232000000,374085065,Adventure,169.0,434.0,18000.0,6.1,104158859.0,73441453.0,2
Quantum of Solace,230000000,591692078,Action,106.0,403.0,451.0,6.7,125590173.0,28730243.0,4
The Avengers,225000000,1519479547,Action,173.0,703.0,26000.0,8.1,461947081.0,106496408.0,2
Pirates of the Caribbean: Dead Man's Chest,225000000,1066215812,Adventure,151.0,313.0,40000.0,7.3,287012730.0,91981736.0,3
Man of Steel,225000000,667999518,Action,143.0,733.0,15000.0,7.2,199901119.0,68357388.0,2
The Chronicles of Narnia: Prince Caspian,225000000,417341288,Adventure,150.0,258.0,22000.0,6.6,102738257.0,21783395.0,2
The Amazing Spider-Man,220000000,757890267,Adventure,153.0,599.0,15000.0,7.0,124481967.0,120335680.0,3
Jurassic World,215000000,1671640593,Action,124.0,644.0,3000.0,7.0,453139625.0,144736890.0,2
Men in Black 3,215000000,654213485,Adventure,106.0,451.0,10000.0,6.8,120340769.0,35490551.0,2
Transformers: Revenge of the Fallen,210000000,836519699,Action,150.0,366.0,894.0,6.0,210016937.0,163214181.0,2
Transformers: Age of Extinction,210000000,1104039076,Action,165.0,378.0,974.0,5.7,172445261.0,53257282.0,2
X-Men: The Last Stand,210000000,459260946,Action,104.0,334.0,20000.0,6.8,170253063.0,36879959.0,2
Robin Hood,210000000,322241588,Action,156.0,343.0,891.0,6.7,76278510.0,19493985.0,2
Battleship,209000000,305218228,Action,131.0,377.0,14000.0,5.9,46869510.0,11972670.0,2
King Kong,207000000,550517357,Adventure,201.0,446.0,6000.0,7.2,120534780.0,62350845.0,4
The Golden Compass,205000000,367262558,Adventure,113.0,251.0,16000.0,6.1,41542000.0,13164000.0,4
Titanic,200000000,2207615668,Thriller/Suspense,194.0,315.0,29000.0,7.7,452906893.0,141681687.0,4
Toy Story 3,200000000,1069818229,Adventure,103.0,453.0,15000.0,8.3,257561985.0,106482314.0,2
Iron Man 3,200000000,1215392272,Action,195.0,608.0,21000.0,7.2,322491584.0,56721557.0,2
Spider-Man 2,200000000,795110670,Adventure,135.0,300.0,24000.0,7.3,198401165.0,132835985.0,2
Alice in Wonderland,200000000,1025491110,Adventure,108.0,451.0,40000.0,6.5,253259160.0,57035237.0,1
Skyfall,200000000,1110526981,Action,143.0,750.0,883.0,7.8,216141162.0,64467965.0,4
Monsters University,200000000,743588329,Adventure,104.0,376.0,12000.0,7.3,150299351.0,57286180.0,2
Oz the Great and Powerful,200000000,490359051,Adventure,130.0,525.0,44000.0,6.4,176033790.0,41776567.0,1
X-Men: Days of Future Past,200000000,747862775,Action,149.0,539.0,34000.0,8.0,163460809.0,42528554.0,2
The Amazing Spider-Man 2,200000000,708996336,Action,142.0,495.0,15000.0,6.7,160820206.0,29046117.0,2
Cars 2,200000000,560155383,Adventure,106.0,304.0,1000.0,6.3,127123585.0,43848663.0,2
2012,200000000,788408539,Action,158.0,367.0,1000.0,5.8,126467286.0,29165243.0,4
Terminator Salvation,200000000,365491792,Action,118.0,422.0,23000.0,6.6,78249656.0,33640849.0,2
